location,team_name,player,jersey,position,height,weight,birthday,age,experience,school
Atlantic,BOSTON CELTICS,Jayson Tatum,#0,F,8-Jun,208 lbs,3-Mar-98,21,1,Duke
Atlantic,BOSTON CELTICS,Jonathan Gibson,#3,G,2-Jun,185 lbs,8-Nov-87,31,2,New Mexico State
Atlantic,BOSTON CELTICS,Jaylen Brown,#7,G,7-Jun,220 lbs,24-Oct-96,22,2,California
Atlantic,BOSTON CELTICS,Brad Wanamaker,#9,G,4-Jun,210 lbs,25-Jul-89,29,R,Pittsburgh
Atlantic,BOSTON CELTICS,Kyrie Irving,#11,G,3-Jun,193 lbs,23-Mar-92,27,7,Duke
Atlantic,BOSTON CELTICS,Terry Rozier,#12,G,1-Jun,190 lbs,17-Mar-94,25,3,Louisville
Atlantic,BOSTON CELTICS,Marcus Morris,#13,F,9-Jun,235 lbs,2-Sep-89,29,7,Kansas
Atlantic,BOSTON CELTICS,Gordon Hayward,#20,F,8-Jun,225 lbs,23-Mar-90,29,8,Butler
Atlantic,BOSTON CELTICS,Daniel Theis,#27,F,8-Jun,243 lbs,4-Apr-92,27,1,
Atlantic,BOSTON CELTICS,RJ Hunter,#28,G,5-Jun,185 lbs,24-Oct-93,25,3,Georgia State
Atlantic,BOSTON CELTICS,Guerschon Yabusele,#30,F,19-Jun,260 lbs,17-Dec-95,23,1,
Atlantic,BOSTON CELTICS,Marcus Smart,#36,G,4-Jun,220 lbs,6-Mar-94,25,4,Oklahoma State
Atlantic,BOSTON CELTICS,Semi Ojeleye,#37,F,7-Jun,241 lbs,5-Dec-94,24,1,Southern Methodist
Atlantic,BOSTON CELTICS,Al Horford,#42,C-F,10-Jun,245 lbs,3-Jun-86,32,11,Florida
Atlantic,BOSTON CELTICS,Robert Williams III,#44,C-F,10-Jun,240 lbs,17-Oct-97,21,R,Texas A&M
Atlantic,BOSTON CELTICS,Aron Baynes,#46,C-F,10-Jun,260 lbs,9-Dec-86,32,6,Washington State
Atlantic,BOSTON CELTICS,PJ Dozier,#50,G-F,19-Jun,205 lbs,25-Oct-96,22,1,South Carolina
Atlantic,Brooklyn Nets,Allen Crabbe,#33,G-F,6-Jun,212 lbs,9-Apr-92,27,5,California
Atlantic,Brooklyn Nets,Dzanan Musa,#30,G-F,9-Jun,208 lbs,8-May-99,19,R,
Atlantic,Brooklyn Nets,Theo Pinson,#10,G-F,6-Jun,218 lbs,5-Nov-95,23,R,
Atlantic,Brooklyn Nets,Caris LeVert,#22,G,7-Jun,204 lbs,25-Aug-94,24,2,Michigan
Atlantic,Brooklyn Nets,Shabazz Napier,#13,G,1-Jun,180 lbs,14-Jul-91,27,4,Connecticut
Atlantic,Brooklyn Nets,Spencer Dinwiddie,#8,G,6-Jun,210 lbs,6-Apr-93,26,4,Colorado
Atlantic,Brooklyn Nets,D'Angelo Russell,#1,G,5-Jun,198 lbs,23-Feb-96,23,3,Ohio State
Atlantic,Brooklyn Nets,Joe Harris,#12,F-G,6-Jun,218 lbs,6-Sep-91,27,4,Virginia
Atlantic,Brooklyn Nets,Alan Williams,#15,F-C,8-Jun,265 lbs,28-Jan-93,26,3,California-Santa Barbara
Atlantic,Brooklyn Nets,Rondae Hollis-Jefferson,#24,F,7-Jun,217 lbs,3-Jan-95,24,3,Arizona
Atlantic,Brooklyn Nets,Treveon Graham,#21,F,5-Jun,225 lbs,28-Oct-93,25,2,Virginia Commonwealth
Atlantic,Brooklyn Nets,DeMarre Carroll,#9,F,8-Jun,215 lbs,27-Jul-86,32,9,Missouri
Atlantic,Brooklyn Nets,Jared Dudley,#6,F,7-Jun,237 lbs,10-Jul-85,33,11,Boston College
Atlantic,Brooklyn Nets,Rodions Kurucs,#00,F,9-Jun,210 lbs,5-Feb-98,21,R,
Atlantic,Brooklyn Nets,Jarrett Allen,#31,C,11-Jun,237 lbs,21-Apr-98,20,1,Texas
Atlantic,Brooklyn Nets,Ed Davis,#17,C,10-Jun,225 lbs,5-Jun-89,29,8,North Carolina
Atlantic,New York Knicks,Kadeem Allen,#0,G,3-Jun,200 lbs,15-Jan-93,26,1,Arizona
Atlantic,New York Knicks,Emmanuel Mudiay,#1,G,5-Jun,200 lbs,5-Mar-96,23,3,
Atlantic,New York Knicks,Luke Kornet,#2,F-C,1-Jul,250 lbs,15-Jul-95,23,1,Vanderbilt
Atlantic,New York Knicks,Billy Garrett,#3,G-F,6-Jun,215 lbs,16-Oct-94,24,R,DePaul
Atlantic,New York Knicks,Isaiah Hicks,#4,F,9-Jun,230 lbs,24-Jul-94,24,1,North Carolina
Atlantic,New York Knicks,Dennis Smith Jr.,#5,G,3-Jun,195 lbs,25-Nov-97,21,1,North Carolina State
Atlantic,New York Knicks,DeAndre Jordan,#6,C,11-Jun,265 lbs,21-Jul-88,30,10,Texas A&M
Atlantic,New York Knicks,Mario Hezonja,#8,F,8-Jun,225 lbs,25-Feb-95,24,3,Croatia
Atlantic,New York Knicks,Frank Ntilikina,#11,G,6-Jun,200 lbs,28-Jul-98,20,1,
Atlantic,New York Knicks,Henry Ellenson,#13,F,11-Jun,245 lbs,13-Jan-97,22,2,Marquette
Atlantic,New York Knicks,Allonzo Trier,#14,G,5-Jun,200 lbs,17-Jan-96,23,R,University of Arizona
Atlantic,New York Knicks,Kevin Knox,#20,F,9-Jun,215 lbs,11-Aug-99,19,R,Kentucky
Atlantic,New York Knicks,Damyean Dotson,#21,G,6-Jun,210 lbs,6-May-94,24,1,Houston
Atlantic,New York Knicks,Mitchell Robinson,#26,C,1-Jul,240 lbs,1-Apr-98,21,R,
Atlantic,New York Knicks,John Jenkins,#30,G,4-Jun,215 lbs,6-Mar-91,28,5,Vanderbilt
Atlantic,New York Knicks,Noah Vonleh,#32,F,9-Jun,250 lbs,24-Aug-95,23,4,Indiana
Atlantic,New York Knicks,Lance Thomas,#42,F,8-Jun,240 lbs,24-Apr-88,30,7,Duke
Atlantic,Philadelphia 76ers,Mike Scott,#1,F,8-Jun,237 lbs,16-Jul-88,30,6,Virginia
Atlantic,Philadelphia 76ers,Amir Johnson,#5,C-F,9-Jun,240 lbs,1-May-87,31,13,Westchester HS (Los Angeles)
Atlantic,Philadelphia 76ers,Haywood Highsmith,#7,F,7-Jun,220 lbs,9-Dec-96,22,R,
Atlantic,Philadelphia 76ers,Zhaire Smith,#8,G,4-Jun,199 lbs,4-Jun-99,19,R,Texas Tech
Atlantic,Philadelphia 76ers,James Ennis III,#11,F,7-Jun,210 lbs,1-Jul-90,28,4,Long Beach State
Atlantic,Philadelphia 76ers,T.J. McConnell,#12,G,2-Jun,190 lbs,25-Mar-92,27,3,Arizona
Atlantic,Philadelphia 76ers,Jonathon Simmons,#14,F,6-Jun,195 lbs,14-Sep-89,29,3,Houston
Atlantic,Philadelphia 76ers,JJ Redick,#17,G,4-Jun,200 lbs,24-Jun-84,34,12,Duke
Atlantic,Philadelphia 76ers,Shake Milton,#18,G,6-Jun,207 lbs,26-Sep-96,22,R,Southern Methodist
Atlantic,Philadelphia 76ers,Joel Embiid,#21,F-C,Jul-00,250 lbs,16-Mar-94,25,2,Kansas
Atlantic,Philadelphia 76ers,Jimmy Butler,#23,G-F,8-Jun,232 lbs,14-Sep-89,29,7,Marquette
Atlantic,Philadelphia 76ers,Ben Simmons,#25,G-F,10-Jun,230 lbs,20-Jul-96,22,1,Louisiana State
Atlantic,Philadelphia 76ers,Furkan Korkmaz,#30,G-F,7-Jun,190 lbs,24-Jul-97,21,1,
Atlantic,Philadelphia 76ers,Tobias Harris,#33,F,9-Jun,235 lbs,15-Jul-92,26,7,Tennessee
Atlantic,Philadelphia 76ers,Jonah Bolden,#43,F,10-Jun,220 lbs,2-Jan-96,23,R,
Atlantic,Philadelphia 76ers,Boban Marjanovic,#51,C,3-Jul,290 lbs,15-Aug-88,30,3,
Atlantic,Philadelphia 76ers,Greg Monroe,#55,C,11-Jun,265 lbs,4-Jun-90,28,8,Georgetown
Atlantic,Toronto Raptors,Patrick McCaw,#1,G,7-Jun,185 lbs,25-Oct-95,23,2,Nevada-Las Vegas
Atlantic,Toronto Raptors,Kawhi Leonard,#2,F,7-Jun,230 lbs,29-Jun-91,27,7,San Diego State
Atlantic,Toronto Raptors,OG Anunoby,#3,F,8-Jun,232 lbs,17-Jul-97,21,1,Indiana
Atlantic,Toronto Raptors,Kyle Lowry,#7,G,1-Jun,196 lbs,25-Mar-86,33,12,Villanova
Atlantic,Toronto Raptors,Jordan Loyd,#8,G,4-Jun,210 lbs,27-Jul-93,25,R,Indianapolis
Atlantic,Toronto Raptors,Serge Ibaka,#9,C-F,10-Jun,235 lbs,18-Sep-89,29,9,"Brazzaville, Rep. of Congo"
Atlantic,Toronto Raptors,Malcolm Miller,#13,F,7-Jun,210 lbs,6-Mar-93,26,1,Holy Cross
Atlantic,Toronto Raptors,Danny Green,#14,G-F,6-Jun,215 lbs,22-Jun-87,31,9,North Carolina
Atlantic,Toronto Raptors,Eric Moreland,#15,F-C,10-Jun,238 lbs,24-Dec-91,27,3,Oregon State
Atlantic,Toronto Raptors,Jeremy Lin,#17,G,3-Jun,200 lbs,23-Aug-88,30,8,Harvard
Atlantic,Toronto Raptors,Jodie Meeks,#20,G,4-Jun,210 lbs,21-Aug-87,31,9,Kentucky
Atlantic,Toronto Raptors,Fred VanVleet,#23,G,Jun-00,195 lbs,25-Feb-94,25,2,Wichita State
Atlantic,Toronto Raptors,Norman Powell,#24,F-G,4-Jun,215 lbs,25-May-93,25,3,UCLA
Atlantic,Toronto Raptors,Chris Boucher,#25,F,10-Jun,200 lbs,11-Jan-93,26,1,Oregon
Atlantic,Toronto Raptors,Marc Gasol,#33,C,1-Jul,255 lbs,29-Jan-85,34,10,"Barcelona, Spain"
Atlantic,Toronto Raptors,Pascal Siakam,#43,F,9-Jun,230 lbs,2-Apr-94,25,2,New Mexico State
Central,Chicago Bulls,Shaquille Harrison,#3,G,4-Jun,190 lbs,6-Oct-93,25,1,Tulsa
Central,Chicago Bulls,Cristiano Felicio,#6,F-C,10-Jun,265 lbs,7-Jul-92,26,3,
Central,Chicago Bulls,Timothe Luwawu-Cabarrot,#7,G-F,6-Jun,210 lbs,9-May-95,23,2,
Central,Chicago Bulls,Zach LaVine,#8,G,5-Jun,200 lbs,10-Mar-95,24,4,UCLA
Central,Chicago Bulls,Antonio Blakeney,#9,G,4-Jun,192 lbs,4-Oct-96,22,1,Louisiana State
Central,Chicago Bulls,Wayne Selden,#14,G-F,5-Jun,230 lbs,30-Sep-94,24,2,Kansas
Central,Chicago Bulls,Chandler Hutchison,#15,F,7-Jun,197 lbs,26-Apr-96,22,R,Boise State
Central,Chicago Bulls,Rawle Alkins,#20,G,5-Jun,225 lbs,29-Oct-97,21,R,
Central,Chicago Bulls,Otto Porter Jr.,#22,F,8-Jun,198 lbs,3-Jun-93,25,5,Georgetown
Central,Chicago Bulls,Lauri Markkanen,#24,F,Jul-00,240 lbs,22-May-97,21,1,Arizona
Central,Chicago Bulls,Walter Lemon Jr.,#25,G,3-Jun,180 lbs,26-Jul-92,26,1,Bradley
Central,Chicago Bulls,Kris Dunn,#32,G,4-Jun,205 lbs,18-Mar-94,25,2,Providence
Central,Chicago Bulls,Wendell Carter Jr.,#34,C,10-Jun,255 lbs,16-Apr-99,20,R,Duke
Central,Chicago Bulls,JaKarr Sampson,#41,F,9-Jun,215 lbs,20-Mar-93,26,3,St. John's (NY)
Central,Chicago Bulls,Robin Lopez,#42,C,Jul-00,275 lbs,1-Apr-88,31,10,Stanford
Central,Chicago Bulls,Brandon Sampson,#44,G,5-Jun,184 lbs,1-May-97,21,R,
Central,Chicago Bulls,Denzel Valentine,#45,G,6-Jun,210 lbs,16-Nov-93,25,2,Michigan State
Central,Chicago Bulls,Ryan Arcidiacono,#51,G,3-Jun,200 lbs,26-Mar-94,25,1,Villanova
Central,Cleveland Cavaliersÿ,Kevin Love,#0,F-C,10-Jun,251 lbs,7-Sep-88,30,10,UCLA
Central,Cleveland Cavaliersÿ,Nik Stauskas,#1,G,6-Jun,205 lbs,7-Oct-93,25,4,Michigan
Central,Cleveland Cavaliersÿ,Collin Sexton,#2,G,2-Jun,190 lbs,4-Jan-99,20,R,Alabama
Central,Cleveland Cavaliersÿ,Marquese Chriss,#3,F,10-Jun,240 lbs,2-Jul-97,21,2,Washington
Central,Cleveland Cavaliersÿ,Jaron Blossomgame,#4,F,8-Jun,220 lbs,16-Sep-93,25,R,Clemson
Central,Cleveland Cavaliersÿ,JR Smith,#5,G-F,6-Jun,225 lbs,9-Sep-85,33,14,St. Benedict's Prep (NJ)
Central,Cleveland Cavaliersÿ,Jordan Clarkson,#8,G,5-Jun,194 lbs,7-Jun-92,26,4,Missouri
Central,Cleveland Cavaliersÿ,Channing Frye,#9,F-C,Jul-00,255 lbs,17-May-83,35,12,Arizona
Central,Cleveland Cavaliersÿ,David Nwaba,#12,G,4-Jun,219 lbs,14-Jan-93,26,2,Cal Poly-S.L.O.
Central,Cleveland Cavaliersÿ,Tristan Thompson,#13,C-F,10-Jun,238 lbs,13-Mar-91,28,7,Texas
Central,Cleveland Cavaliersÿ,Cedi Osman,#16,F,8-Jun,215 lbs,8-Apr-95,24,1,Anadolu Efes
Central,Cleveland Cavaliersÿ,Matthew Dellavedova,#18,G,4-Jun,200 lbs,8-Sep-90,28,5,Saint Mary's (CA)
Central,Cleveland Cavaliersÿ,Brandon Knight,#20,G,3-Jun,195 lbs,2-Dec-91,27,6,Kentucky
Central,Cleveland Cavaliersÿ,Larry Nance Jr.,#22,F,9-Jun,230 lbs,1-Jan-93,26,3,Wyoming
Central,Cleveland Cavaliersÿ,John Henson,#31,F,11-Jun,219 lbs,28-Dec-90,28,6,North Carolina
Central,Cleveland Cavaliersÿ,Deng Adel,#32,F,7-Jun,200 lbs,1-Feb-97,22,R,
Central,Cleveland Cavaliersÿ,Ante Zizic,#41,C,11-Jun,254 lbs,4-Jan-97,22,1,
Central,Detroit Pistonsÿ,Andre Drummond,#0,C,11-Jun,279 lbs,10-Aug-93,25,6,Connecticut
Central,Detroit Pistonsÿ,Reggie Jackson,#1,G,3-Jun,208 lbs,16-Apr-90,29,7,Boston College
Central,Detroit Pistonsÿ,Luke Kennard,#5,G,5-Jun,206 lbs,24-Jun-96,22,1,Duke
Central,Detroit Pistonsÿ,Bruce Brown,#6,G,5-Jun,202 lbs,15-Aug-96,22,R,Miami (FL)
Central,Detroit Pistonsÿ,Thon Maker,#7,F,1-Jul,221 lbs,25-Feb-97,22,2,
Central,Detroit Pistonsÿ,Langston Galloway,#9,G,2-Jun,200 lbs,9-Dec-91,27,4,Saint Joseph's
Central,Detroit Pistonsÿ,Isaiah Whitehead,#12,G,4-Jun,213 lbs,8-Mar-95,24,2,Seton Hall
Central,Detroit Pistonsÿ,Khyri Thomas,#13,G,3-Jun,210 lbs,8-May-96,22,R,Creighton
Central,Detroit Pistonsÿ,Ish Smith,#14,G,Jun-00,175 lbs,5-Jul-88,30,8,Wake Forest
Central,Detroit Pistonsÿ,Svi Mykhailiuk,#19,G,8-Jun,205 lbs,10-Jun-97,21,R,Kansas
Central,Detroit Pistonsÿ,Wayne Ellington,#20,G,5-Jun,200 lbs,29-Nov-87,31,9,North Carolina
Central,Detroit Pistonsÿ,Glenn Robinson III,#22,G-F,6-Jun,222 lbs,8-Jan-94,25,4,Michigan
Central,Detroit Pistonsÿ,Blake Griffin,#23,F,10-Jun,250 lbs,16-Mar-89,30,8,Oklahoma
Central,Detroit Pistonsÿ,Kalin Lucas,#24,G,1-Jun,195 lbs,24-May-89,29,1,Michigan State
Central,Detroit Pistonsÿ,Zaza Pachulia,#27,C,11-Jun,270 lbs,10-Feb-84,35,15,"Tbilisi, Georgia"
Central,Detroit Pistonsÿ,Jon Leuer,#30,F,10-Jun,228 lbs,14-May-89,29,7,Wisconsin
Central,Detroit Pistonsÿ,Jose Calderon,#81,G,3-Jun,200 lbs,28-Sep-81,37,13,"Villanueva de la Serena, Spain"
Central,Indiana Pacersÿ,Darren Collison,#2,G,Jun-00,175 lbs,23-Aug-87,31,9,UCLA
Central,Indiana Pacersÿ,Aaron Holiday,#3,G,1-Jun,185 lbs,30-Sep-96,22,R,California-Los Angeles
Central,Indiana Pacersÿ,Victor Oladipo,#4,G,4-Jun,210 lbs,4-May-92,26,5,Indiana
Central,Indiana Pacersÿ,Edmond Sumner,#5,G,6-Jun,176 lbs,31-Dec-95,23,1,Xavier
Central,Indiana Pacersÿ,Cory Joseph,#6,G,3-Jun,193 lbs,20-Aug-91,27,7,Texas
Central,Indiana Pacersÿ,Kyle O'Quinn,#10,C,10-Jun,250 lbs,26-Mar-90,29,6,Norfolk State
Central,Indiana Pacersÿ,Domantas Sabonis,#11,F,11-Jun,240 lbs,3-May-96,22,2,Gonzaga
Central,Indiana Pacersÿ,Tyreke Evans,#12,G,6-Jun,220 lbs,19-Sep-89,29,9,Memphis
Central,Indiana Pacersÿ,Doug McDermott,#20,F,8-Jun,225 lbs,3-Jan-92,27,4,Creighton
Central,Indiana Pacersÿ,Thaddeus Young,#21,F,8-Jun,221 lbs,21-Jun-88,30,11,Georgia Tech
Central,Indiana Pacersÿ,TJ Leaf,#22,F,10-Jun,225 lbs,30-Apr-97,21,1,California-Los Angeles
Central,Indiana Pacersÿ,Wesley Matthews,#23,G-F,5-Jun,220 lbs,14-Oct-86,32,9,Marquette
Central,Indiana Pacersÿ,Alize Johnson,#24,F,9-Jun,212 lbs,22-Apr-96,22,R,Missouri State
Central,Indiana Pacersÿ,Davon Reed,#32,G,5-Jun,208 lbs,11-Jun-95,23,1,Miami (FL)
Central,Indiana Pacersÿ,Myles Turner,#33,C-F,11-Jun,250 lbs,24-Mar-96,23,3,Texas
Central,Indiana Pacersÿ,Bojan Bogdanovic,#44,F,8-Jun,216 lbs,18-Apr-89,29,4,
Central,Milwaukee Bucks,George Hill,#3,G,3-Jun,188 lbs,4-May-86,32,10,Indiana Purdue-Indianapolis
Central,Milwaukee Bucks,D.J. Wilson,#5,F,10-Jun,231 lbs,19-Feb-96,23,1,Michigan
Central,Milwaukee Bucks,Eric Bledsoe,#6,G,1-Jun,205 lbs,9-Dec-89,29,8,Kentucky
Central,Milwaukee Bucks,Donte DiVincenzo,#9,G,4-Jun,203 lbs,31-Jan-97,22,R,Villanova
Central,Milwaukee Bucks,Brook Lopez,#11,C,Jul-00,270 lbs,1-Apr-88,31,10,Stanford
Central,Milwaukee Bucks,Tim Frazier,#12,G,1-Jun,170 lbs,1-Nov-90,28,4,
Central,Milwaukee Bucks,Malcolm Brogdon,#13,G,5-Jun,229 lbs,11-Dec-92,26,2,Virginia
Central,Milwaukee Bucks,Pau Gasol,#17,C-F,Jul-00,250 lbs,6-Jul-80,38,17,"Barcelona, Spain"
Central,Milwaukee Bucks,Tony Snell,#21,G,7-Jun,213 lbs,10-Nov-91,27,5,New Mexico
Central,Milwaukee Bucks,Khris Middleton,#22,F,8-Jun,222 lbs,12-Aug-91,27,6,Texas A&M
Central,Milwaukee Bucks,Sterling Brown,#23,G,6-Jun,232 lbs,10-Feb-95,24,1,Southern Methodist
Central,Milwaukee Bucks,Pat Connaughton,#24,G,4-Jun,209 lbs,6-Jan-93,26,3,Notre Dame
Central,Milwaukee Bucks,Giannis Antetokounmpo,#34,F,11-Jun,242 lbs,6-Dec-94,24,5,Greece
Central,Milwaukee Bucks,Nikola Mirotic,#41,F,10-Jun,250 lbs,11-Feb-91,28,4,
Central,Milwaukee Bucks,Bonzie Colson,#50,F,6-Jun,225 lbs,12-Jan-96,23,R,Notre Dame
Central,Milwaukee Bucks,Ersan Ilyasova,#77,F,10-Jun,235 lbs,15-May-87,31,10,"Eskisehir, Turkey"
Northwest,Denver Nuggetsÿ,Isaiah Thomas,#0,G,9-May,185 lbs,7-Feb-89,30,7,Washington
Northwest,Denver Nuggetsÿ,Michael Porter Jr.,#1,F,10-Jun,210 lbs,29-Jun-98,20,R,Missouri
Northwest,Denver Nuggetsÿ,Torrey Craig,#3,F,7-Jun,215 lbs,19-Dec-90,28,1,South Carolina Upstate
Northwest,Denver Nuggetsÿ,Paul Millsap,#4,F,8-Jun,246 lbs,10-Feb-85,34,12,Louisiana Tech
Northwest,Denver Nuggetsÿ,Will Barton,#5,G,6-Jun,190 lbs,6-Jan-91,28,6,Memphis
Northwest,Denver Nuggetsÿ,Brandon Goodwin,#6,G,2-Jun,180 lbs,2-Oct-95,23,R,
Northwest,Denver Nuggetsÿ,Trey Lyles,#7,F,10-Jun,234 lbs,5-Nov-95,23,3,Kentucky
Northwest,Denver Nuggetsÿ,Jarred Vanderbilt,#8,F,9-Jun,214 lbs,3-Apr-99,20,R,Kentucky
Northwest,Denver Nuggetsÿ,Monte Morris,#11,G,3-Jun,175 lbs,27-Jun-95,23,1,Iowa State
Northwest,Denver Nuggetsÿ,Gary Harris,#14,G,4-Jun,210 lbs,14-Sep-94,24,4,Michigan State
Northwest,Denver Nuggetsÿ,Nikola Jokic,#15,C,Jul-00,250 lbs,19-Feb-95,24,3,Serbia
Northwest,Denver Nuggetsÿ,Tyler Lydon,#20,F,10-Jun,225 lbs,9-Apr-96,23,1,Syracuse
Northwest,Denver Nuggetsÿ,Mason Plumlee,#24,F-C,11-Jun,235 lbs,5-Mar-90,29,5,Duke
Northwest,Denver Nuggetsÿ,Malik Beasley,#25,G,5-Jun,195 lbs,26-Nov-96,22,2,Florida State
Northwest,Denver Nuggetsÿ,Jamal Murray,#27,G,4-Jun,207 lbs,23-Feb-97,22,2,Kentucky
Northwest,Denver Nuggetsÿ,Juancho Hernangomez,#41,F,9-Jun,230 lbs,28-Sep-95,23,2,
Northwest,Denver Nuggetsÿ,Thomas Welsh,#45,C,Jul-00,255 lbs,3-Feb-96,23,R,California-Los Angeles
Northwest,Minnesota Timberwolves,Jeff Teague,#0,G,2-Jun,195 lbs,10-Jun-88,30,9,Wake Forest
Northwest,Minnesota Timberwolves,Tyus Jones,#1,G,2-Jun,196 lbs,10-May-96,22,3,Duke
Northwest,Minnesota Timberwolves,Jared Terrell,#3,G,3-Jun,227 lbs,10-Feb-95,24,R,Rhode Island
Northwest,Minnesota Timberwolves,Gorgui Dieng,#5,C,11-Jun,252 lbs,18-Jan-90,29,5,Louisville
Northwest,Minnesota Timberwolves,Jerryd Bayless,#8,G,3-Jun,200 lbs,20-Aug-88,30,10,Arizona
Northwest,Minnesota Timberwolves,Luol Deng,#9,F,9-Jun,237 lbs,16-Apr-85,34,14,Duke
Northwest,Minnesota Timberwolves,C.J. Williams,#12,G,5-Jun,226 lbs,6-Feb-90,29,1,North Carolina State
Northwest,Minnesota Timberwolves,Cameron Reynolds,#13,G,8-Jun,225 lbs,7-Feb-95,24,R,
Northwest,Minnesota Timberwolves,Josh Okogie,#20,G,4-Jun,212 lbs,1-Sep-98,20,R,Georgia Tech
Northwest,Minnesota Timberwolves,Andrew Wiggins,#22,F-G,8-Jun,194 lbs,23-Feb-95,24,4,Kansas
Northwest,Minnesota Timberwolves,Derrick Rose,#25,G,3-Jun,200 lbs,4-Oct-88,30,9,Memphis
Northwest,Minnesota Timberwolves,Keita Bates-Diop,#31,F,9-Jun,229 lbs,23-Jan-96,23,R,Ohio State
Northwest,Minnesota Timberwolves,Karl-Anthony Towns,#32,C,Jul-00,248 lbs,15-Nov-95,23,3,Kentucky
Northwest,Minnesota Timberwolves,Robert Covington,#33,F,9-Jun,225 lbs,14-Dec-90,28,5,Tennessee State
Northwest,Minnesota Timberwolves,Dario Saric,#36,F,10-Jun,223 lbs,8-Apr-94,25,2,
Northwest,Minnesota Timberwolves,Anthony Tolliver,#43,F,8-Jun,250 lbs,1-Jun-85,33,10,Creighton
Northwest,Minnesota Timberwolves,Mitchell Creek,#55,F-G,6-Jun,225 lbs,27-Apr-92,26,R,
Northwest,Minnesota Timberwolves,Taj Gibson,#67,F,9-Jun,232 lbs,24-Jun-85,33,9,Southern California
Northwest,Oklahoma City Thunder,Russell Westbrook,#0,G,3-Jun,200 lbs,12-Nov-88,30,10,UCLA
Northwest,Oklahoma City Thunder,Raymond Felton,#2,G,1-Jun,205 lbs,26-Jun-84,34,13,North Carolina
Northwest,Oklahoma City Thunder,Nerlens Noel,#3,F-C,11-Jun,220 lbs,10-Apr-94,25,4,Kentucky
Northwest,Oklahoma City Thunder,Markieff Morris,#5,F,10-Jun,245 lbs,2-Sep-89,29,7,Kansas
Northwest,Oklahoma City Thunder,Hamidou Diallo,#6,G,5-Jun,198 lbs,31-Jul-98,20,R,Kentucky
Northwest,Oklahoma City Thunder,Jawun Evans,#8,G,Jun-00,190 lbs,26-Jul-96,22,1,Oklahoma State
Northwest,Oklahoma City Thunder,Jerami Grant,#9,F,9-Jun,220 lbs,12-Mar-94,25,4,Syracuse
